component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
sasa,4+,medium,all_in,weight_layer_3,4,0,2,0.6593452095985413
sasa,4+,medium,all_in,entropy,4,1,2,0.694775171884635
sasa,4+,medium,all_in,max_weight,4,1,2,0.6540370583534241
sasa,4+,medium,all_in,uniform_l1,4,1,2,0.20201853290200233
sasa,4+,medium,all_in,weight_layer_0,4,1,2,0.0401143804192543
sasa,4+,medium,all_in,weight_layer_1,4,1,2,0.10116366297006607
sasa,4+,medium,all_in,weight_layer_2,4,1,2,0.20468488335609436
sasa,4+,medium,all_in,weight_layer_3,4,1,2,0.6540370583534241
sasa,4+,medium,all_in,entropy,4,2,2,0.69564930489059
sasa,4+,medium,all_in,max_weight,4,2,2,0.6533429622650146
sasa,4+,medium,all_in,uniform_l1,4,2,2,0.20167148765176535
sasa,4+,medium,all_in,weight_layer_0,4,2,2,0.040256109088659286
sasa,4+,medium,all_in,weight_layer_1,4,2,2,0.10141291469335556
sasa,4+,medium,all_in,weight_layer_2,4,2,2,0.20498798787593842
sasa,4+,medium,all_in,weight_layer_3,4,2,2,0.6533429622650146
sasa,4+,medium,all_in,entropy,4,3,2,0.6925628157717597
sasa,4+,medium,all_in,max_weight,4,3,2,0.6556692123413086
sasa,4+,medium,all_in,uniform_l1,4,3,2,0.20283461268991232
sasa,4+,medium,all_in,weight_layer_0,4,3,2,0.039711158722639084
sasa,4+,medium,all_in,weight_layer_1,4,3,2,0.10044495016336441
sasa,4+,medium,all_in,weight_layer_2,4,3,2,0.20417465269565582
sasa,4+,medium,all_in,weight_layer_3,4,3,2,0.6556692123413086
sasa,4+,medium,all_in,inter_person_l1,4,all,2,0.0009564179927110672
ggsf,4+,medium,all_in,mean,4,0,3,0.9564608335494995
ggsf,4+,medium,all_in,variance,4,0,3,0.0002858450752682984
ggsf,4+,medium,all_in,std,4,0,3,0.01690695434808731
ggsf,4+,medium,all_in,min,4,0,3,0.9262090921401978
ggsf,4+,medium,all_in,max,4,0,3,0.9881405830383301
ggsf,4+,medium,all_in,spatial_entropy,4,0,3,0.9999774981040391
ggsf,4+,medium,all_in,identity_l1,4,0,3,0.043539129197597504
ggsf,4+,medium,all_in,dynamic_range,4,0,3,0.061931490898132324
ggsf,4+,medium,all_in,mean,4,1,3,0.9427292346954346
ggsf,4+,medium,all_in,variance,4,1,3,0.000354391144355759
ggsf,4+,medium,all_in,std,4,1,3,0.01882527954876423
ggsf,4+,medium,all_in,min,4,1,3,0.9175135493278503
ggsf,4+,medium,all_in,max,4,1,3,0.9871319532394409
ggsf,4+,medium,all_in,spatial_entropy,4,1,3,0.9999713978768697
ggsf,4+,medium,all_in,identity_l1,4,1,3,0.05727071687579155
ggsf,4+,medium,all_in,dynamic_range,4,1,3,0.06961840391159058
ggsf,4+,medium,all_in,mean,4,2,3,0.941055178642273
ggsf,4+,medium,all_in,variance,4,2,3,0.00038664668682031333
ggsf,4+,medium,all_in,std,4,2,3,0.019663333892822266
ggsf,4+,medium,all_in,min,4,2,3,0.9144386053085327
ggsf,4+,medium,all_in,max,4,2,3,0.983790934085846
ggsf,4+,medium,all_in,spatial_entropy,4,2,3,0.9999686520296648
