cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
1,0,6.753228187561035,1.0,0.0,0.11440020119638974,images/CBS This Morning/11118_11359/00011135.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
1,0,8.932528495788574,1.0,0.0,0.12864453947682758,images/CBS This Morning/11118_11359/00011135.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4549589065263696
0,1,7.154905319213867,1.0,0.0,0.15619285463187757,images/CBS This Morning/11118_11359/00011136.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
1,0,7.0496931076049805,1.0,0.0,0.11449687404299003,images/CBS This Morning/11118_11359/00011136.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
1,0,9.145942687988281,1.0,0.0,0.1287412123234278,images/CBS This Morning/11118_11359/00011136.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4531727524013757
0,1,7.516972541809082,1.0,0.0,0.15628931049465236,images/CBS This Morning/11118_11359/00011137.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
1,0,7.334108352661133,1.0,0.0,0.11459332990576478,images/CBS This Morning/11118_11359/00011137.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
1,0,9.471673965454102,1.0,0.0,0.12883766818620263,images/CBS This Morning/11118_11359/00011137.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4533817970487168
0,1,7.8095855712890625,1.0,0.0,0.15638555020732106,images/CBS This Morning/11118_11359/00011138.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
1,0,7.588798999786377,1.0,0.0,0.11468956961843346,images/CBS This Morning/11118_11359/00011138.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
1,0,9.8009033203125,1.0,0.0,0.1289339078988713,images/CBS This Morning/11118_11359/00011138.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45529215803613404
0,1,8.0881929397583,1.0,0.0,0.15648157459748285,images/CBS This Morning/11118_11359/00011139.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
1,0,7.601006031036377,1.0,0.0,0.11478559400859525,images/CBS This Morning/11118_11359/00011139.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
1,0,9.767498016357422,1.0,0.0,0.12902993228903312,images/CBS This Morning/11118_11359/00011139.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45319570685792815
0,1,8.006247520446777,1.0,0.0,0.15657738448668018,images/CBS This Morning/11118_11359/00011140.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.455706217867795
1,0,7.648313522338867,1.0,0.0,0.11488140389779258,images/CBS This Morning/11118_11359/00011140.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.455706217867795
1,0,9.736388206481934,1.0,0.0,0.12912574217823045,images/CBS This Morning/11118_11359/00011140.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.455706217867795
0,1,8.01490592956543,1.0,0.0,0.15667298069046004,images/CBS This Morning/11118_11359/00011141.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
1,0,7.766044616699219,1.0,0.0,0.11497700010157243,images/CBS This Morning/11118_11359/00011141.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
1,0,9.64404582977295,1.0,0.0,0.1292213383820103,images/CBS This Morning/11118_11359/00011141.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.4560676609909989
0,1,8.353859901428223,1.0,0.0,0.1567683640184351,images/CBS This Morning/11118_11359/00011142.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
1,0,7.819109916687012,1.0,0.0,0.11507238342954752,images/CBS This Morning/11118_11359/00011142.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
1,0,9.852914810180664,1.0,0.0,0.1293167217099854,images/CBS This Morning/11118_11359/00011142.jpg,4,1,3,images/CBS This Morning/11118_11359,0.0,0.45667918684827197
0,1,8.463016510009766,1.0,0.0,0.15676836401843508,images/CBS This Morning/11118_11359/00011143.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45494166248630996
