cluster_i,cluster_j,diag_margin,diagonal_correct,head_bbox_iou,mean_head_size,path,people_count,query_i,query_j,sequence_id,swap_error,target_separation
0,1,9.969194412231445,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011154.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45100504788463336
1,0,10.330760955810547,1.0,0.0,0.1150723834295477,images/CBS This Morning/11118_11359/00011154.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45100504788463336
0,1,10.096076011657715,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011155.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4523667948480697
1,0,10.318936347961426,1.0,0.0,0.1150723834295477,images/CBS This Morning/11118_11359/00011155.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4523667948480697
0,1,10.106189727783203,1.0,0.0,0.15676836401843522,images/CBS This Morning/11118_11359/00011156.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.4528549225880941
1,0,10.466055870056152,1.0,0.0,0.11507238342954779,images/CBS This Morning/11118_11359/00011156.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.4528549225880941
0,1,10.262367248535156,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011157.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45308375787387256
1,0,10.585016250610352,1.0,0.0,0.11507238342954776,images/CBS This Morning/11118_11359/00011157.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45308375787387256
0,1,10.292667388916016,1.0,0.0,0.1567683640184352,images/CBS This Morning/11118_11359/00011158.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45213899423419024
1,0,10.57178783416748,1.0,0.0,0.11507238342954776,images/CBS This Morning/11118_11359/00011158.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45213899423419024
0,1,10.344661712646484,1.0,0.0,0.15676836401843508,images/CBS This Morning/11118_11359/00011159.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.45223782227891207
1,0,10.49525260925293,1.0,0.0,0.11507238342954765,images/CBS This Morning/11118_11359/00011159.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.45223782227891207
0,1,12.409149169921875,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011160.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.569338789990017
1,0,11.320778846740723,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011160.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.569338789990017
0,1,12.36857795715332,1.0,0.0,0.15676836401843505,images/CBS This Morning/11118_11359/00011161.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5667848644120732
1,0,11.14128303527832,1.0,0.0,0.11507238342954762,images/CBS This Morning/11118_11359/00011161.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5667848644120732
0,1,12.058429718017578,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011162.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5668368588052859
1,0,10.924932479858398,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011162.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5668368588052859
0,1,12.054319381713867,1.0,0.0,0.15676836401843514,images/CBS This Morning/11118_11359/00011163.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5668257040111243
1,0,11.399002075195312,1.0,0.0,0.11507238342954768,images/CBS This Morning/11118_11359/00011163.jpg,4,1,2,images/CBS This Morning/11118_11359,0.0,0.5668257040111243
0,1,12.098210334777832,1.0,0.0,0.15676836401843516,images/CBS This Morning/11118_11359/00011164.jpg,4,0,1,images/CBS This Morning/11118_11359,0.0,0.5670752717520994
