method,coverage,risk
random,0.66875,0.0877547709630515
random,0.675,0.08725745261264274
random,0.68125,0.08784341863561801
random,0.6875,0.08728077251272758
random,0.69375,0.08699234216284954
random,0.7,0.0867208836061988
random,0.70625,0.08635570028835692
random,0.7125,0.08563641204393069
random,0.71875,0.08518206124511382
random,0.725,0.08460102175419638
random,0.73125,0.08411811041495285
random,0.7375,0.08525854814808202
random,0.74375,0.08471609516931866
random,0.75,0.08418861650791558
random,0.75625,0.083817162890254
random,0.7625,0.08346652483890649
random,0.76875,0.08416360656347727
random,0.775,0.0835430872598726
random,0.78125,0.08315398531862232
random,0.7875,0.08272269953212574
random,0.79375,0.08251554396722106
random,0.8,0.08194259629841887
random,0.80625,0.08273053469914246
random,0.8125,0.08242785399448219
random,0.81875,0.08291740862514035
random,0.825,0.0835118790981934
random,0.83125,0.08309687944367228
random,0.8375,0.08269014549796966
random,0.84375,0.08334893754145117
random,0.85,0.08281513495466873
random,0.85625,0.08404774370097477
random,0.8625,0.08510064432734361
random,0.86875,0.0849657715565082
random,0.875,0.08482686540882763
random,0.88125,0.08552835312658046
random,0.8875,0.08503326597565398
random,0.89375,0.08506057707904376
random,0.9,0.08514948663040522
random,0.90625,0.08473514637253461
random,0.9125,0.08435705141429255
random,0.91875,0.08405905083829782
random,0.925,0.08376065707739311
random,0.93125,0.08343054447092274
random,0.9375,0.08399640266382688
random,0.94375,0.0851597277739075
random,0.95,0.0847653340056795
random,0.95625,0.08484342991725108
random,0.9625,0.08560297101295676
random,0.96875,0.08539506771169889
random,0.975,0.08544260838209021
random,0.98125,0.08513763856420697
random,0.9875,0.08548551611867124
random,0.99375,0.08527594549576388
random,1.0,0.08554111396721825
final_confidence,0.00625,0.07019861369856298
final_confidence,0.0125,0.05376498339391427
final_confidence,0.01875,0.03943352152068101
final_confidence,0.025,0.03460678650021373
final_confidence,0.03125,0.03637041464358577
final_confidence,0.0375,0.03587302389965356
final_confidence,0.04375,0.033668246072720585
final_confidence,0.05,0.03378145015279414
final_confidence,0.05625,0.03579013747322976
final_confidence,0.0625,0.035615562637797527
final_confidence,0.06875,0.03740187545947639
final_confidence,0.075,0.03916582043151117
final_confidence,0.08125,0.038484777972029906
final_confidence,0.0875,0.03791355413528472
final_confidence,0.09375,0.03857816507481445
final_confidence,0.1,0.03740890295483319
final_confidence,0.10625,0.036666718804941933
final_confidence,0.1125,0.03549796449200933
final_confidence,0.11875,0.03518403385922956
final_confidence,0.125,0.03740457297466178
final_confidence,0.13125,0.038309781061069914
final_confidence,0.1375,0.040787127935236984
final_confidence,0.14375,0.04049227041226001
final_confidence,0.15,0.03954598749086128
final_confidence,0.15625,0.04132702429399338
final_confidence,0.1625,0.040701759868807724
final_confidence,0.16875,0.04368532421626776
final_confidence,0.175,0.0429298843305226
final_confidence,0.18125,0.043737589325374214
final_confidence,0.1875,0.04269926925461611
final_confidence,0.19375,0.04261337863047637
final_confidence,0.2,0.04216661445598913
final_confidence,0.20625,0.04358362876272607
final_confidence,0.2125,0.0466077472515596
