absolute_calibration_error,bin,brier,dimension,ece,gt_step,inout_ap,l2,model,motion_residual,n,positive_rate,prediction_step,score_step,sequence_n
0.19256872760957439,5+,0.08799544138420377,crowd_bin,0.033150994683922776,0.007589927032744574,0.9670099461766721,0.17107114954642694,learned_sasa_ggsf_512,0.026103667414690886,2983,0.8008716057660074,0.025517401228691446,0.014570668143661399,5
0.23796681593610872,large,0.14489103882166782,head_size_bin,0.08199325573444306,0.005904548115456956,0.8801347626537304,0.07640906219321372,learned_sasa_ggsf_512,0.017695710059290166,22606,0.5748473856498275,0.027258567948379595,0.021316917182974352,121
0.24147483230632869,medium,0.13281353279341557,head_size_bin,0.04446989816360851,0.00660447071179497,0.8951579391514422,0.13233017624099375,learned_sasa_ggsf_512,0.025070844470512985,7520,0.8014627659574468,0.022007225787439782,0.016761650321906074,45
0.23811595444417674,small,0.10820738549650552,head_size_bin,0.15207287927602858,0.003263013237105927,0.9552839924573424,0.15989463733353182,learned_sasa_ggsf_512,0.028431061023165505,1554,0.9356499356499357,0.02867972741963598,0.01976789360532736,12
0.18594438301526672,far,0.09442461702590337,target_distance_bin,0.18594438301526672,0.00672395364902266,,0.12073394175744195,learned_sasa_ggsf_512,0.028977093676965417,4857,1.0,0.025492007292725164,0.016327778341625226,82
0.14769461837620754,medium,0.0612165822254741,target_distance_bin,0.1476946183762075,0.00618873706358071,,0.08874427648347989,learned_sasa_ggsf_512,0.01738809946786106,10237,1.0,0.013985720693525406,0.014262697359530098,104
0.17485633632254696,near,0.06881918051056449,target_distance_bin,0.17485633632254693,0.0046953140994271565,,0.09812274704774392,learned_sasa_ggsf_512,0.01929168443293645,5382,1.0,0.016280964502283366,0.01672417655727708,59
0.37569102949760635,out_or_missing,0.26656903968456164,target_distance_bin,0.37569102949760635,,,,learned_sasa_ggsf_512,,11204,0.0,0.0420973909551103,0.028859012532638523,120
0.24291182999835875,all,0.142774742179103,overall,0.0626467388110017,0.0059218882811410915,0.8862568044912127,0.09955018662127885,p1a_prior_residual_512,0.021350121842982715,31680,0.6463383838383838,0.02616453616931178,0.02020642692315978,131
0.7204513005763605,in_to_out,0.593762016598333,state,0.7204513005763605,,,,p1a_prior_residual_512,,238,0.0,0.058123319656820646,0.06779842824868842,90
0.31310786434683013,out_to_in,0.18370404424523357,state,0.3131078643468302,,,0.1544316080013191,p1a_prior_residual_512,,251,1.0,0.059759108287091994,0.08139583945971918,96
0.17528640345497026,stable_in,0.0788953571632516,state,0.1752864034549703,0.0059218882811410915,,0.09886908715198885,p1a_prior_residual_512,0.021350121842982715,20225,1.0,0.017642539596284264,0.015219581034212927,119
0.35566494446315916,stable_out,0.2498650518467319,state,0.35566494446315916,,,,p1a_prior_residual_512,,10966,0.0,0.04041941056452349,0.026970380893777863,118
0.23870312881471506,stable,0.1390041600839353,regime,0.058249519216747606,0.0059218882811410915,0.8916039931253442,0.09886908715198885,p1a_prior_residual_512,0.021350121842982715,31191,0.6484242249366805,0.02565033566046019,0.019350877602453416,131
0.5113649969084421,switch,0.3832823620776215,regime,0.3431246045868318,,0.4867799785839841,0.1544316080013191,p1a_prior_residual_512,,489,0.5132924335378323,0.058962957583606146,0.074777876539013,108
0.25863484550450394,1,0.14110153270967574,crowd_bin,0.07041830205470227,0.009849467486820297,0.8900809594050346,0.09518971751001795,p1a_prior_residual_512,0.031485783637930954,2450,0.503265306122449,0.041778848205897084,0.02900612850911079,33
0.23124068022926547,2,0.13067513354727475,crowd_bin,0.053793527607746,0.00520782389374617,0.9281138435822108,0.07388991875383935,p1a_prior_residual_512,0.020356428315802116,10803,0.6498194945848376,0.026234952756037645,0.0246635945807496,64
0.2900427455738533,3,0.18687127762766784,crowd_bin,0.13152338816295456,0.005162841942398025,0.7783581101139112,0.10040053424883044,p1a_prior_residual_512,0.019642728701459434,8976,0.5418894830659536,0.02691767356121228,0.019313735698110148,26
0.20350221684789307,4,0.1205068780148384,crowd_bin,0.06326923314026246,0.005899276914079686,0.9215017918381738,0.1025958871244762,p1a_prior_residual_512,0.019005424748391602,6468,0.7683982683982684,0.020552142710586904,0.013088879118770408,11
0.21589752313179225,5+,0.1035623648669618,crowd_bin,0.06722821533321544,0.007589927032744574,0.9628534916752074,0.16913508259545562,p1a_prior_residual_512,0.027404655048885132,2983,0.8008716057660074,0.022988211927038933,0.014956358047636202,5
0.23857073402554416,large,0.14595136537052864,head_size_bin,0.08015465744022768,0.005904548115456956,0.878418356078018,0.07637890396638965,p1a_prior_residual_512,0.01804658097197875,22606,0.5748473856498275,0.026582542981720633,0.021154716303923994,121
0.24767249906906225,medium,0.13343304349805707,head_size_bin,0.04959854610298977,0.00660447071179497,0.8998460834165833,0.133785044899244,p1a_prior_residual_512,0.025945716662973992,7520,0.8014627659574468,0.02365604692342148,0.01721859311999535,45
0.28302417501107224,small,0.14177012841854778,head_size_bin,0.20191058993790215,0.003263013237105927,0.9543719310678618,0.1647340430579976,p1a_prior_residual_512,0.03179429695375732,1554,0.9356499356499357,0.0322226939091963,0.020870185261796032,12
0.19523431837918945,far,0.10284823071975918,target_distance_bin,0.1952343183791895,0.00672395364902266,,0.12442296550352558,p1a_prior_residual_512,0.03006728234264887,4857,1.0,0.02699711750941913,0.01665785486495154,82
0.16074717181726644,medium,0.06937014724480446,target_distance_bin,0.16074717181726644,0.00618873706358071,,0.0888808158267522,p1a_prior_residual_512,0.017769462823921684,10237,1.0,0.014265986466211595,0.015125475544309614,104
0.1913667226991357,near,0.08028470081408096,target_distance_bin,0.19136672269913566,0.0046953140994271565,,0.0973976897414009,p1a_prior_residual_512,0.020321707174979716,5382,1.0,0.01758714164196442,0.017186861370341658,59
0.36341388705106903,out_or_missing,0.25717025334716753,target_distance_bin,0.3634138870510691,,,,p1a_prior_residual_512,,11204,0.0,0.04079548432067904,0.027837667154976427,120
0.23876017807965078,all,0.14284331044880805,overall,0.06734419949554853,0.0059218882811410915,0.8815314649283953,0.10012636906916841,p1a_static_prior_512,0.02127318206375902,31680,0.6463383838383838,0.026116605009793552,0.01934701916701431,131
0.7475335869811937,in_to_out,0.6282398848191768,state,0.7475335869811937,,,,p1a_static_prior_512,,238,0.0,0.054667507895755627,0.06417104463677994,90
0.2889034573241059,out_to_in,0.16511624435733446,state,0.28890345732410594,,,0.1579108036858076,p1a_static_prior_512,,251,1.0,0.06061828640264554,0.07996631670090187,96
0.1585734018888693,stable_in,0.06870654079472353,state,0.15857340188886926,0.0059218882811410915,,0.09940924209320917,p1a_static_prior_512,0.02127318206375902,20225,1.0,0.01738277307174524,0.014071124647162642,119
0.37446175696435163,stable_out,0.2685319184319077,state,0.3744617569643517,,,,p1a_static_prior_512,,10966,0.0,0.04081537521137684,0.02671720017387095,118
0.23447451765167712,stable,0.1389603028148371,regime,0.0629214428441169,0.0059218882811410915,0.8870981457395616,0.09940924209320917,p1a_static_prior_512,0.02127318206375902,31191,0.6484242249366805,0.025621108330736615,0.018517178451974394,131
0.5121222116357356,switch,0.3905220243776176,regime,0.35297334960119986,,0.4923813922202326,0.1579108036858076,p1a_static_prior_512,,489,0.5132924335378323,0.057721997477001775,0.07227863827296523,108
0.2593319777115391,1,0.14519531355771897,crowd_bin,0.07143180726369253,0.009849467486820297,0.8879154817299661,0.09105960068559005,p1a_static_prior_512,0.027666974530223837,2450,0.503265306122449,0.04076863069925648,0.028266038089249358,33
0.22872359836645617,2,0.1310759924828334,crowd_bin,0.05445994561477584,0.00520782389374617,0.9287597650293034,0.07344188246129624,p1a_static_prior_512,0.02024772116886816,10803,0.6498194945848376,0.026321165918601695,0.02359214522410098,64
0.28986101178987367,3,0.1895500165593321,crowd_bin,0.1393451834252271,0.005162841942398025,0.7720330293433167,0.10340602354520366,p1a_static_prior_512,0.019212151302676967,8976,0.5418894830659536,0.026053826191327074,0.018950493848630384,26
0.1943454375320027,4,0.11952790910002241,crowd_bin,0.06358338976555,0.005899276914079686,0.9147583100016825,0.10253011407799525,p1a_static_prior_512,0.02030909174545467,6468,0.7683982683982684,0.021384359411952228,0.012061266046914173,11
0.20075069769840417,5+,0.09353876812412594,crowd_bin,0.04188814880969542,0.007589927032744574,0.9617932915428901,0.17153933237553523,p1a_static_prior_512,0.027181392400054214,2983,0.8008716057660074,0.023791540566063824,0.013638594522173078,5
0.23922943210847536,large,0.14851327037967765,head_size_bin,0.08710575438356744,0.005904548115456956,0.8733894632884183,0.07624296038678142,p1a_static_prior_512,0.018034398202250664,22606,0.5748473856498275,0.026891022110619705,0.020738179873452472,121
0.23596130831543594,medium,0.1311021376487512,head_size_bin,0.04769495004649335,0.00660447071179497,0.8938001048344597,0.13782481638490135,p1a_static_prior_512,0.02665959136936233,7520,0.8014627659574468,0.023092650280611873,0.015335315294028755,45
0.24547803139450697,small,0.11717954291932822,head_size_bin,0.1609662319563492,0.003263013237105927,0.9564834010889529,0.15731780913498475,p1a_static_prior_512,0.02788220127514982,1554,0.9356499356499357,0.02948447282328794,0.018522974247522795,12
0.17886855325965328,far,0.09241933633092139,target_distance_bin,0.17886855325965326,0.00672395364902266,,0.12198631404831006,p1a_static_prior_512,0.029336846379476193,4857,1.0,0.025700766924270615,0.015475786919518614,82
0.14452536983314138,medium,0.060376911366549026,target_distance_bin,0.14452536983314132,0.00618873706358071,,0.08857929327987302,p1a_static_prior_512,0.017836823060847214,10237,1.0,0.014155830483944264,0.01396004340444093,104
0.17305667908337563,near,0.06764674966338288,target_distance_bin,0.1730566790833757,0.0046953140994271565,,0.10236227804191576,p1a_static_prior_512,0.02055749672843147,5382,1.0,0.01803045589888362,0.01608791900435286,59
0.38238670301433453,out_or_missing,0.27617298376573224,target_distance_bin,0.38238670301433453,,,,p1a_static_prior_512,,11204,0.0,0.04110962794065943,0.027512810222261912,120
