crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,mean,metric,n,scope,std
4+,medium,mixed,layer_5,,8.71015591664559,effective_rank,272,layer,0.12010611424896803
1,large,all_in,layer_5,,0.13390453399723745,normalized_effective_rank,33,layer,0.0007596623309566844
1,large,all_out,layer_5,,0.13349227260576563,normalized_effective_rank,119,layer,0.0013704034370670812
2-3,large,all_in,layer_5,,0.1352190801895085,normalized_effective_rank,18,layer,0.0005920883129330524
2-3,large,all_out,layer_5,,0.12869985326867736,normalized_effective_rank,37,layer,0.003217559103536805
2-3,large,mixed,layer_5,,0.13268740161509987,normalized_effective_rank,40,layer,0.0017600670295450866
4+,medium,all_in,layer_5,,0.136366174909791,normalized_effective_rank,480,layer,0.002149451725598223
4+,medium,all_out,layer_5,,0.1368446509565362,normalized_effective_rank,1,layer,
4+,medium,mixed,layer_5,,0.13609618619758734,normalized_effective_rank,272,layer,0.0018766580351401254
1,large,all_in,layer_5,,5.315561190863051,spatial_variance,33,layer,0.0260001572680161
1,large,all_out,layer_5,,5.377324356063647,spatial_variance,119,layer,0.02216403765377548
2-3,large,all_in,layer_5,,5.575608468467644,spatial_variance,18,layer,0.028064838020150265
2-3,large,all_out,layer_5,,5.671049089862936,spatial_variance,37,layer,0.044807860266330386
2-3,large,mixed,layer_5,,5.629936007671191,spatial_variance,40,layer,0.04657469108906692
4+,medium,all_in,layer_5,,6.36216089364101,spatial_variance,480,layer,0.17666472407592723
4+,medium,all_out,layer_5,,5.877889823005674,spatial_variance,1,layer,
4+,medium,mixed,layer_5,,6.261799480383739,spatial_variance,272,layer,0.2035667690818971
1,large,all_in,layer_5,,0.2531466003505155,token_cosine,33,layer,0.0006462706085241673
1,large,all_out,layer_5,,0.2522421288782837,token_cosine,119,layer,0.000528585402875325
2-3,large,all_in,layer_5,,0.23760683907594876,token_cosine,18,layer,0.0005277309446344747
2-3,large,all_out,layer_5,,0.23680983389017324,token_cosine,37,layer,0.0011511727872976336
2-3,large,mixed,layer_5,,0.23684852511525117,token_cosine,40,layer,0.0008503936315496838
4+,medium,all_in,layer_5,,0.23549414397200288,token_cosine,480,layer,0.002302879122586167
4+,medium,all_out,layer_5,,0.23795021820606363,token_cosine,1,layer,
4+,medium,mixed,layer_5,,0.2344238795045029,token_cosine,272,layer,0.003154453930728104
1,large,all_in,layer_8,,15.155966557001976,effective_rank,33,layer,0.0822651652632662
1,large,all_out,layer_8,,15.255628408365961,effective_rank,119,layer,0.14144435778800374
2-3,large,all_in,layer_8,,15.236388354777526,effective_rank,18,layer,0.11935130884678594
2-3,large,all_out,layer_8,,14.654331335780954,effective_rank,37,layer,0.4193576399854712
2-3,large,mixed,layer_8,,15.063640511896006,effective_rank,40,layer,0.23246234964566836
4+,medium,all_in,layer_8,,15.343406795067915,effective_rank,480,layer,0.33974878322124047
4+,medium,all_out,layer_8,,15.293902790797741,effective_rank,1,layer,
4+,medium,mixed,layer_8,,15.159286421170453,effective_rank,272,layer,0.3232621698333247
1,large,all_in,layer_8,,0.23681197745315588,normalized_effective_rank,33,layer,0.0012853932072385344
1,large,all_out,layer_8,,0.23836919388071814,normalized_effective_rank,119,layer,0.0022100680904375584
2-3,large,all_in,layer_8,,0.23806856804339885,normalized_effective_rank,18,layer,0.0018648642007310303
2-3,large,all_out,layer_8,,0.2289739271215774,normalized_effective_rank,37,layer,0.006552463124772988
2-3,large,mixed,layer_8,,0.2353693829983751,normalized_effective_rank,40,layer,0.003632224213213568
4+,medium,all_in,layer_8,,0.23974073117293618,normalized_effective_rank,480,layer,0.005308574737831882
4+,medium,all_out,layer_8,,0.2389672311062147,normalized_effective_rank,1,layer,
4+,medium,mixed,layer_8,,0.23686385033078833,normalized_effective_rank,272,layer,0.005050971403645698
1,large,all_in,layer_8,,1.1540056387371005,spatial_variance,33,layer,0.0033036908830471716
1,large,all_out,layer_8,,1.1635556580369257,spatial_variance,119,layer,0.005455448654958026
2-3,large,all_in,layer_8,,1.1804443627635202,spatial_variance,18,layer,0.006858426635474546
2-3,large,all_out,layer_8,,1.1823863362246738,spatial_variance,37,layer,0.008069125507781306
2-3,large,mixed,layer_8,,1.180931420701255,spatial_variance,40,layer,0.007888722190983525
4+,medium,all_in,layer_8,,1.3776283788808241,spatial_variance,480,layer,0.024725431235931287
4+,medium,all_out,layer_8,,1.3205403030740237,spatial_variance,1,layer,
4+,medium,mixed,layer_8,,1.3682037259572288,spatial_variance,272,layer,0.025866322869590827
1,large,all_in,layer_8,,0.20017518696953224,token_cosine,33,layer,0.00047022695312074484
1,large,all_out,layer_8,,0.19964225093984578,token_cosine,119,layer,0.00041516511052777454
2-3,large,all_in,layer_8,,0.18801895230744392,token_cosine,18,layer,0.00045335490362989167
