crowd_bin,head_area_bin,inout_bin,layer_a,layer_b,metric,people_count,sample_id,scope,value
4+,medium,all_in,layer_8,,normalized_effective_rank,4,8,layer,0.2426303694128901
4+,medium,all_in,layer_8,,spatial_variance,4,8,layer,1.3629743084702965
4+,medium,all_in,layer_11,,token_cosine,4,8,layer,0.42822040793727306
4+,medium,all_in,layer_11,,effective_rank,4,8,layer,19.17655440744445
4+,medium,all_in,layer_11,,normalized_effective_rank,4,8,layer,0.2996336626163195
4+,medium,all_in,layer_11,,spatial_variance,4,8,layer,0.09284927901344442
4+,medium,all_in,layer_2,layer_5,linear_cka,4,8,pair,0.9293675428574723
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,8,pair,0.149099264259052
4+,medium,all_in,layer_2,layer_8,linear_cka,4,8,pair,0.8500015655060418
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,8,pair,0.40617404165249255
4+,medium,all_in,layer_2,layer_11,linear_cka,4,8,pair,0.7228792993867598
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,8,pair,0.7691910276621716
4+,medium,all_in,layer_5,layer_8,linear_cka,4,8,pair,0.9609161129153218
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,8,pair,0.24949746992374622
4+,medium,all_in,layer_5,layer_11,linear_cka,4,8,pair,0.8332493305581024
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,8,pair,0.7402759156239085
4+,medium,all_in,layer_8,layer_11,linear_cka,4,8,pair,0.8947399280999628
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,8,pair,0.6721451867372265
4+,medium,all_in,layer_2,,token_cosine,4,9,layer,0.3995161984880526
4+,medium,all_in,layer_2,,effective_rank,4,9,layer,5.956761388541074
4+,medium,all_in,layer_2,,normalized_effective_rank,4,9,layer,0.09307439669595428
4+,medium,all_in,layer_2,,spatial_variance,4,9,layer,6.510173891555547
4+,medium,all_in,layer_5,,token_cosine,4,9,layer,0.24004418420707707
4+,medium,all_in,layer_5,,effective_rank,4,9,layer,8.956980150874987
4+,medium,all_in,layer_5,,normalized_effective_rank,4,9,layer,0.13995281485742167
4+,medium,all_in,layer_5,,spatial_variance,4,9,layer,6.260882792342308
4+,medium,all_in,layer_8,,token_cosine,4,9,layer,0.1822721316131556
4+,medium,all_in,layer_8,,effective_rank,4,9,layer,15.577154842762075
4+,medium,all_in,layer_8,,normalized_effective_rank,4,9,layer,0.24339304441815743
4+,medium,all_in,layer_8,,spatial_variance,4,9,layer,1.3605244889875179
4+,medium,all_in,layer_11,,token_cosine,4,9,layer,0.4283584314619721
4+,medium,all_in,layer_11,,effective_rank,4,9,layer,19.18108025399074
4+,medium,all_in,layer_11,,normalized_effective_rank,4,9,layer,0.2997043789686053
4+,medium,all_in,layer_11,,spatial_variance,4,9,layer,0.09306912301154568
4+,medium,all_in,layer_2,layer_5,linear_cka,4,9,pair,0.9289241090812409
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,9,pair,0.1488185207047039
4+,medium,all_in,layer_2,layer_8,linear_cka,4,9,pair,0.8489944490125398
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,9,pair,0.40746751918004037
4+,medium,all_in,layer_2,layer_11,linear_cka,4,9,pair,0.7225389479367257
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,9,pair,0.7698454275533874
4+,medium,all_in,layer_5,layer_8,linear_cka,4,9,pair,0.960171985226425
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,9,pair,0.2516217568946039
4+,medium,all_in,layer_5,layer_11,linear_cka,4,9,pair,0.8334258260299785
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,9,pair,0.7406151723409302
4+,medium,all_in,layer_8,layer_11,linear_cka,4,9,pair,0.8950735896315247
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,9,pair,0.6722763901339031
4+,medium,all_in,layer_2,,token_cosine,4,10,layer,0.40156866572381106
4+,medium,all_in,layer_2,,effective_rank,4,10,layer,5.978374998100852
4+,medium,all_in,layer_2,,normalized_effective_rank,4,10,layer,0.09341210934532582
4+,medium,all_in,layer_2,,spatial_variance,4,10,layer,6.462548467848337
4+,medium,all_in,layer_5,,token_cosine,4,10,layer,0.24095988991294595
4+,medium,all_in,layer_5,,effective_rank,4,10,layer,8.957747020023433
4+,medium,all_in,layer_5,,normalized_effective_rank,4,10,layer,0.13996479718786614
4+,medium,all_in,layer_5,,spatial_variance,4,10,layer,6.249779335630479
4+,medium,all_in,layer_8,,token_cosine,4,10,layer,0.182533924933463
4+,medium,all_in,layer_8,,effective_rank,4,10,layer,15.490511921898749
4+,medium,all_in,layer_8,,normalized_effective_rank,4,10,layer,0.24203924877966795
4+,medium,all_in,layer_8,,spatial_variance,4,10,layer,1.3572599772227718
4+,medium,all_in,layer_11,,token_cosine,4,10,layer,0.4282676690253485
4+,medium,all_in,layer_11,,effective_rank,4,10,layer,19.11862907435646
4+,medium,all_in,layer_11,,normalized_effective_rank,4,10,layer,0.2987285792868197
4+,medium,all_in,layer_11,,spatial_variance,4,10,layer,0.09314307512453186
4+,medium,all_in,layer_2,layer_5,linear_cka,4,10,pair,0.9270146240892194
4+,medium,all_in,layer_2,layer_5,directional_novelty,4,10,pair,0.14840928788460972
4+,medium,all_in,layer_2,layer_8,linear_cka,4,10,pair,0.8477295487515047
4+,medium,all_in,layer_2,layer_8,directional_novelty,4,10,pair,0.4074634105827171
4+,medium,all_in,layer_2,layer_11,linear_cka,4,10,pair,0.7209237460109423
4+,medium,all_in,layer_2,layer_11,directional_novelty,4,10,pair,0.7700489175020012
4+,medium,all_in,layer_5,layer_8,linear_cka,4,10,pair,0.9607486517855867
4+,medium,all_in,layer_5,layer_8,directional_novelty,4,10,pair,0.25186274771357336
4+,medium,all_in,layer_5,layer_11,linear_cka,4,10,pair,0.8330654882262672
4+,medium,all_in,layer_5,layer_11,directional_novelty,4,10,pair,0.7403240414466825
4+,medium,all_in,layer_8,layer_11,linear_cka,4,10,pair,0.8942272100283075
4+,medium,all_in,layer_8,layer_11,directional_novelty,4,10,pair,0.6729578503759389
4+,medium,all_in,layer_2,,token_cosine,4,11,layer,0.4026676891613549
4+,medium,all_in,layer_2,,effective_rank,4,11,layer,5.999036387375095
4+,medium,all_in,layer_2,,normalized_effective_rank,4,11,layer,0.09373494355273586
4+,medium,all_in,layer_2,,spatial_variance,4,11,layer,6.417344490987488
4+,medium,all_in,layer_5,,token_cosine,4,11,layer,0.24146190877587473
4+,medium,all_in,layer_5,,effective_rank,4,11,layer,8.965197530120856
4+,medium,all_in,layer_5,,normalized_effective_rank,4,11,layer,0.14008121140813837
4+,medium,all_in,layer_5,,spatial_variance,4,11,layer,6.24714581003236
4+,medium,all_in,layer_8,,token_cosine,4,11,layer,0.18274344731833464
4+,medium,all_in,layer_8,,effective_rank,4,11,layer,15.463550179428257
4+,medium,all_in,layer_8,,normalized_effective_rank,4,11,layer,0.2416179715535665
4+,medium,all_in,layer_8,,spatial_variance,4,11,layer,1.3537564393149382
