component,crowd_bin,head_area_bin,inout_bin,metric,people_count,person,sample_id,value
ggsf,4+,large,mixed,std,4,0,106,0.013361496850848198
ggsf,4+,large,mixed,min,4,0,106,0.9370151162147522
ggsf,4+,large,mixed,max,4,0,106,0.9912161827087402
ggsf,4+,large,mixed,spatial_entropy,4,0,106,0.9999862290941525
ggsf,4+,large,mixed,identity_l1,4,0,106,0.03310803323984146
ggsf,4+,large,mixed,dynamic_range,4,0,106,0.05420106649398804
ggsf,4+,large,mixed,mean,4,1,106,0.9614077806472778
ggsf,4+,large,mixed,variance,4,1,106,0.0002598060527816415
ggsf,4+,large,mixed,std,4,1,106,0.016118500381708145
ggsf,4+,large,mixed,min,4,1,106,0.9352033734321594
ggsf,4+,large,mixed,max,4,1,106,0.9909319877624512
ggsf,4+,large,mixed,spatial_entropy,4,1,106,0.9999797532767787
ggsf,4+,large,mixed,identity_l1,4,1,106,0.03859224542975426
ggsf,4+,large,mixed,dynamic_range,4,1,106,0.05572861433029175
ggsf,4+,large,mixed,mean,4,2,106,0.9479141235351562
ggsf,4+,large,mixed,variance,4,2,106,0.00021062132145743817
ggsf,4+,large,mixed,std,4,2,106,0.014512798748910427
ggsf,4+,large,mixed,min,4,2,106,0.9266109466552734
ggsf,4+,large,mixed,max,4,2,106,0.9824647307395935
ggsf,4+,large,mixed,spatial_entropy,4,2,106,0.9999831416732271
ggsf,4+,large,mixed,identity_l1,4,2,106,0.052085842937231064
ggsf,4+,large,mixed,dynamic_range,4,2,106,0.05585378408432007
ggsf,4+,large,mixed,mean,4,3,106,0.9448096752166748
ggsf,4+,large,mixed,variance,4,3,106,0.0002046248409897089
ggsf,4+,large,mixed,std,4,3,106,0.014304714277386665
ggsf,4+,large,mixed,min,4,3,106,0.9233372807502747
ggsf,4+,large,mixed,max,4,3,106,0.9847787022590637
ggsf,4+,large,mixed,spatial_entropy,4,3,106,0.9999835519848971
ggsf,4+,large,mixed,identity_l1,4,3,106,0.05519029125571251
ggsf,4+,large,mixed,dynamic_range,4,3,106,0.06144142150878906
ggsf,4+,large,mixed,inter_person_l1,4,all,106,0.013590027578175068
sasa,4+,large,mixed,entropy,4,0,106,0.6067090807441086
sasa,4+,large,mixed,max_weight,4,0,106,0.6932265162467957
sasa,4+,large,mixed,uniform_l1,4,0,106,0.22161326766945422
sasa,4+,large,mixed,weight_layer_0,4,0,106,0.012874661944806576
sasa,4+,large,mixed,weight_layer_1,4,0,106,0.07909125834703445
sasa,4+,large,mixed,weight_layer_2,4,0,106,0.21480752527713776
sasa,4+,large,mixed,weight_layer_3,4,0,106,0.6932265162467957
sasa,4+,large,mixed,entropy,4,1,106,0.6096383899868151
sasa,4+,large,mixed,max_weight,4,1,106,0.6912272572517395
sasa,4+,large,mixed,uniform_l1,4,1,106,0.22061363956891
sasa,4+,large,mixed,weight_layer_0,4,1,106,0.013178014196455479
sasa,4+,large,mixed,weight_layer_1,4,1,106,0.0799696072936058
sasa,4+,large,mixed,weight_layer_2,4,1,106,0.2156250774860382
sasa,4+,large,mixed,weight_layer_3,4,1,106,0.6912272572517395
sasa,4+,large,mixed,entropy,4,2,106,0.6161500224119629
sasa,4+,large,mixed,max_weight,4,2,106,0.6864933371543884
sasa,4+,large,mixed,uniform_l1,4,2,106,0.21824665530584753
sasa,4+,large,mixed,weight_layer_0,4,2,106,0.013790578581392765
sasa,4+,large,mixed,weight_layer_1,4,2,106,0.08184882253408432
sasa,4+,large,mixed,weight_layer_2,4,2,106,0.21786731481552124
sasa,4+,large,mixed,weight_layer_3,4,2,106,0.6864933371543884
sasa,4+,large,mixed,entropy,4,3,106,0.6176302702087302
sasa,4+,large,mixed,max_weight,4,3,106,0.6854349970817566
sasa,4+,large,mixed,uniform_l1,4,3,106,0.2177175076212734
sasa,4+,large,mixed,weight_layer_0,4,3,106,0.013955981470644474
sasa,4+,large,mixed,weight_layer_1,4,3,106,0.08224133402109146
sasa,4+,large,mixed,weight_layer_2,4,3,106,0.21836765110492706
sasa,4+,large,mixed,weight_layer_3,4,3,106,0.6854349970817566
sasa,4+,large,mixed,inter_person_l1,4,all,106,0.001565686077810824
ggsf,4+,medium,mixed,mean,5,0,185,0.9595705270767212
ggsf,4+,medium,mixed,variance,5,0,185,0.00030953407986089587
ggsf,4+,medium,mixed,std,5,0,185,0.01759358122944832
ggsf,4+,medium,mixed,min,5,0,185,0.9285863041877747
ggsf,4+,medium,mixed,max,5,0,185,0.9901441335678101
ggsf,4+,medium,mixed,spatial_entropy,5,0,185,0.999975774742665
ggsf,4+,medium,mixed,identity_l1,5,0,185,0.04042946919798851
ggsf,4+,medium,mixed,dynamic_range,5,0,185,0.0615578293800354
ggsf,4+,medium,mixed,mean,5,1,185,0.948418140411377
ggsf,4+,medium,mixed,variance,5,1,185,0.00032007653499022126
ggsf,4+,medium,mixed,std,5,1,185,0.017890682443976402
ggsf,4+,medium,mixed,min,5,1,185,0.9251857399940491
ggsf,4+,medium,mixed,max,5,1,185,0.9870674014091492
ggsf,4+,medium,mixed,spatial_entropy,5,1,185,0.9999744396752454
ggsf,4+,medium,mixed,identity_l1,5,1,185,0.05158185958862305
ggsf,4+,medium,mixed,dynamic_range,5,1,185,0.0618816614151001
ggsf,4+,medium,mixed,mean,5,2,185,0.9621626138687134
ggsf,4+,medium,mixed,variance,5,2,185,0.00044346656068228185
ggsf,4+,medium,mixed,std,5,2,185,0.021058645099401474
ggsf,4+,medium,mixed,min,5,2,185,0.9300315976142883
ggsf,4+,medium,mixed,max,5,2,185,0.9938315153121948
ggsf,4+,medium,mixed,spatial_entropy,5,2,185,0.9999654466268679
ggsf,4+,medium,mixed,identity_l1,5,2,185,0.03783740475773811
ggsf,4+,medium,mixed,dynamic_range,5,2,185,0.0637999176979065
ggsf,4+,medium,mixed,mean,5,3,185,0.9506254196166992
ggsf,4+,medium,mixed,variance,5,3,185,0.0002889673924073577
ggsf,4+,medium,mixed,std,5,3,185,0.01699904166162014
ggsf,4+,medium,mixed,min,5,3,185,0.9257505536079407
ggsf,4+,medium,mixed,max,5,3,185,0.9860585331916809
ggsf,4+,medium,mixed,spatial_entropy,5,3,185,0.9999770033094454
ggsf,4+,medium,mixed,identity_l1,5,3,185,0.04937460273504257
ggsf,4+,medium,mixed,dynamic_range,5,3,185,0.060307979583740234
ggsf,4+,medium,mixed,mean,5,4,185,0.9428093433380127
ggsf,4+,medium,mixed,variance,5,4,185,0.00041188939940184355
ggsf,4+,medium,mixed,std,5,4,185,0.02029505930840969
ggsf,4+,medium,mixed,min,5,4,185,0.9139794111251831
ggsf,4+,medium,mixed,max,5,4,185,0.9892129302024841
ggsf,4+,medium,mixed,spatial_entropy,5,4,185,0.999966747083299
ggsf,4+,medium,mixed,identity_l1,5,4,185,0.057190656661987305
ggsf,4+,medium,mixed,dynamic_range,5,4,185,0.07523351907730103
ggsf,4+,medium,mixed,inter_person_l1,5,all,185,0.01095542311668396
sasa,4+,medium,mixed,entropy,5,0,185,0.6178536080378839
sasa,4+,medium,mixed,max_weight,5,0,185,0.6836981773376465
sasa,4+,medium,mixed,uniform_l1,5,0,185,0.21684909309260547
sasa,4+,medium,mixed,weight_layer_0,5,0,185,0.011273679323494434
sasa,4+,medium,mixed,weight_layer_1,5,0,185,0.08861927688121796
sasa,4+,medium,mixed,weight_layer_2,5,0,185,0.2164088487625122
sasa,4+,medium,mixed,weight_layer_3,5,0,185,0.6836981773376465
sasa,4+,medium,mixed,entropy,5,1,185,0.6231842834597456
sasa,4+,medium,mixed,max_weight,5,1,185,0.6797386407852173
sasa,4+,medium,mixed,uniform_l1,5,1,185,0.2148693313356489
sasa,4+,medium,mixed,weight_layer_0,5,1,185,0.011742831207811832
sasa,4+,medium,mixed,weight_layer_1,5,1,185,0.0902918130159378
sasa,4+,medium,mixed,weight_layer_2,5,1,185,0.21822667121887207
sasa,4+,medium,mixed,weight_layer_3,5,1,185,0.6797386407852173
sasa,4+,medium,mixed,entropy,5,2,185,0.6169240488416562
sasa,4+,medium,mixed,max_weight,5,2,185,0.6844926476478577
sasa,4+,medium,mixed,uniform_l1,5,2,185,0.2172463161405176
sasa,4+,medium,mixed,weight_layer_0,5,2,185,0.011226416565477848
sasa,4+,medium,mixed,weight_layer_1,5,2,185,0.08835761249065399
sasa,4+,medium,mixed,weight_layer_2,5,2,185,0.21592335402965546
sasa,4+,medium,mixed,weight_layer_3,5,2,185,0.6844926476478577
sasa,4+,medium,mixed,entropy,5,3,185,0.6220179887215861
sasa,4+,medium,mixed,max_weight,5,3,185,0.680604100227356
sasa,4+,medium,mixed,uniform_l1,5,3,185,0.21530204080045223
sasa,4+,medium,mixed,weight_layer_0,5,3,185,0.011644072830677032
sasa,4+,medium,mixed,weight_layer_1,5,3,185,0.089903324842453
sasa,4+,medium,mixed,weight_layer_2,5,3,185,0.217848539352417
sasa,4+,medium,mixed,weight_layer_3,5,3,185,0.680604100227356
sasa,4+,medium,mixed,entropy,5,4,185,0.6260299551798123
sasa,4+,medium,mixed,max_weight,5,4,185,0.6777099370956421
sasa,4+,medium,mixed,uniform_l1,5,4,185,0.21385496575385332
sasa,4+,medium,mixed,weight_layer_0,5,4,185,0.012028176337480545
sasa,4+,medium,mixed,weight_layer_1,5,4,185,0.09121967107057571
sasa,4+,medium,mixed,weight_layer_2,5,4,185,0.21904222667217255
sasa,4+,medium,mixed,weight_layer_3,5,4,185,0.6777099370956421
sasa,4+,medium,mixed,inter_person_l1,5,all,185,0.0011386882979422808
ggsf,2-3,large,mixed,mean,3,0,231,0.9702364802360535
ggsf,2-3,large,mixed,variance,3,0,231,0.00031194754410535097
ggsf,2-3,large,mixed,std,3,0,231,0.017662037163972855
ggsf,2-3,large,mixed,min,3,0,231,0.9323112964630127
ggsf,2-3,large,mixed,max,3,0,231,0.9944329857826233
ggsf,2-3,large,mixed,spatial_entropy,3,0,231,0.9999760532798896
ggsf,2-3,large,mixed,identity_l1,3,0,231,0.029763532802462578
ggsf,2-3,large,mixed,dynamic_range,3,0,231,0.062121689319610596
ggsf,2-3,large,mixed,mean,3,1,231,0.9668943881988525
ggsf,2-3,large,mixed,variance,3,1,231,0.0003607191611081362
ggsf,2-3,large,mixed,std,3,1,231,0.018992608413100243
ggsf,2-3,large,mixed,min,3,1,231,0.9318156838417053
ggsf,2-3,large,mixed,max,3,1,231,0.9939742684364319
ggsf,2-3,large,mixed,spatial_entropy,3,1,231,0.9999721368537322
ggsf,2-3,large,mixed,identity_l1,3,1,231,0.033105574548244476
ggsf,2-3,large,mixed,dynamic_range,3,1,231,0.06215858459472656
ggsf,2-3,large,mixed,mean,3,2,231,0.969265341758728
ggsf,2-3,large,mixed,variance,3,2,231,0.00020104259601794183
ggsf,2-3,large,mixed,std,3,2,231,0.014178949408233166
ggsf,2-3,large,mixed,min,3,2,231,0.9443363547325134
ggsf,2-3,large,mixed,max,3,2,231,0.9934666752815247
ggsf,2-3,large,mixed,spatial_entropy,3,2,231,0.999984568879332
ggsf,2-3,large,mixed,identity_l1,3,2,231,0.030734680593013763
ggsf,2-3,large,mixed,dynamic_range,3,2,231,0.04913032054901123
ggsf,2-3,large,mixed,inter_person_l1,3,all,231,0.005250473972409964
sasa,2-3,large,mixed,entropy,3,0,231,0.6041439093217482
sasa,2-3,large,mixed,max_weight,3,0,231,0.6825411319732666
sasa,2-3,large,mixed,uniform_l1,3,0,231,0.2162705505033955
sasa,2-3,large,mixed,weight_layer_0,3,0,231,0.005615005735307932
sasa,2-3,large,mixed,weight_layer_1,3,0,231,0.08673904091119766
sasa,2-3,large,mixed,weight_layer_2,3,0,231,0.22510488331317902
sasa,2-3,large,mixed,weight_layer_3,3,0,231,0.6825411319732666
sasa,2-3,large,mixed,entropy,3,1,231,0.6057237264942344
sasa,2-3,large,mixed,max_weight,3,1,231,0.6813653707504272
sasa,2-3,large,mixed,uniform_l1,3,1,231,0.2156826836289838
sasa,2-3,large,mixed,weight_layer_0,3,1,231,0.005718819331377745
sasa,2-3,large,mixed,weight_layer_1,3,1,231,0.08727063238620758
sasa,2-3,large,mixed,weight_layer_2,3,1,231,0.22564518451690674
sasa,2-3,large,mixed,weight_layer_3,3,1,231,0.6813653707504272
sasa,2-3,large,mixed,entropy,3,2,231,0.6043583661255408
sasa,2-3,large,mixed,max_weight,3,2,231,0.6822713613510132
sasa,2-3,large,mixed,uniform_l1,3,2,231,0.2161356796277687
sasa,2-3,large,mixed,weight_layer_0,3,2,231,0.005583633203059435
sasa,2-3,large,mixed,weight_layer_1,3,2,231,0.08685877919197083
sasa,2-3,large,mixed,weight_layer_2,3,2,231,0.22528623044490814
sasa,2-3,large,mixed,weight_layer_3,3,2,231,0.6822713613510132
sasa,2-3,large,mixed,inter_person_l1,3,all,231,0.00023130285262595862
ggsf,2-3,large,mixed,mean,3,0,252,0.9702288508415222
ggsf,2-3,large,mixed,variance,3,0,252,0.0003121329064015299
ggsf,2-3,large,mixed,std,3,0,252,0.017667284235358238
ggsf,2-3,large,mixed,min,3,0,252,0.93231201171875
ggsf,2-3,large,mixed,max,3,0,252,0.9944329857826233
ggsf,2-3,large,mixed,spatial_entropy,3,0,252,0.9999760386769753
ggsf,2-3,large,mixed,identity_l1,3,0,252,0.02977112866938114
ggsf,2-3,large,mixed,dynamic_range,3,0,252,0.06212097406387329
ggsf,2-3,large,mixed,mean,3,1,252,0.9668943881988525
ggsf,2-3,large,mixed,variance,3,1,252,0.0003607191611081362
ggsf,2-3,large,mixed,std,3,1,252,0.018992608413100243
ggsf,2-3,large,mixed,min,3,1,252,0.9318156838417053
ggsf,2-3,large,mixed,max,3,1,252,0.9939742684364319
ggsf,2-3,large,mixed,spatial_entropy,3,1,252,0.9999721368537322
ggsf,2-3,large,mixed,identity_l1,3,1,252,0.033105574548244476
ggsf,2-3,large,mixed,dynamic_range,3,1,252,0.06215858459472656
ggsf,2-3,large,mixed,mean,3,2,252,0.9684573411941528
ggsf,2-3,large,mixed,variance,3,2,252,0.00018866610480472445
ggsf,2-3,large,mixed,std,3,2,252,0.013735578395426273
ggsf,2-3,large,mixed,min,3,2,252,0.944275975227356
ggsf,2-3,large,mixed,max,3,2,252,0.9928449988365173
ggsf,2-3,large,mixed,spatial_entropy,3,2,252,0.9999854975401895
ggsf,2-3,large,mixed,identity_l1,3,2,252,0.031542666256427765
ggsf,2-3,large,mixed,dynamic_range,3,2,252,0.04856902360916138
ggsf,2-3,large,mixed,inter_person_l1,3,all,252,0.0060959868133068085
sasa,2-3,large,mixed,entropy,3,0,252,0.5970264121241071
sasa,2-3,large,mixed,max_weight,3,0,252,0.6871058940887451
sasa,2-3,large,mixed,uniform_l1,3,0,252,0.218552952632308
sasa,2-3,large,mixed,weight_layer_0,3,0,252,0.00459502637386322
sasa,2-3,large,mixed,weight_layer_1,3,0,252,0.08579086512327194
sasa,2-3,large,mixed,weight_layer_2,3,0,252,0.22250819206237793
sasa,2-3,large,mixed,weight_layer_3,3,0,252,0.6871058940887451
sasa,2-3,large,mixed,entropy,3,1,252,0.5985830286575679
sasa,2-3,large,mixed,max_weight,3,1,252,0.6859378218650818
sasa,2-3,large,mixed,uniform_l1,3,1,252,0.21796890010591596
sasa,2-3,large,mixed,weight_layer_0,3,1,252,0.004682442639023066
sasa,2-3,large,mixed,weight_layer_1,3,1,252,0.08632159978151321
sasa,2-3,large,mixed,weight_layer_2,3,1,252,0.22305817902088165
sasa,2-3,large,mixed,weight_layer_3,3,1,252,0.6859378218650818
sasa,2-3,large,mixed,entropy,3,2,252,0.5975543145093865
sasa,2-3,large,mixed,max_weight,3,2,252,0.686590850353241
sasa,2-3,large,mixed,uniform_l1,3,2,252,0.21829544159118086
sasa,2-3,large,mixed,weight_layer_0,3,2,252,0.004580044653266668
sasa,2-3,large,mixed,weight_layer_1,3,2,252,0.08601118624210358
sasa,2-3,large,mixed,weight_layer_2,3,2,252,0.22281785309314728
sasa,2-3,large,mixed,weight_layer_3,3,2,252,0.686590850353241
sasa,2-3,large,mixed,inter_person_l1,3,all,252,0.00020620370924007148
ggsf,2-3,large,all_out,mean,3,0,285,0.9702280759811401
ggsf,2-3,large,all_out,variance,3,0,285,0.00031215144554153085
ggsf,2-3,large,all_out,std,3,0,285,0.017667807638645172
ggsf,2-3,large,all_out,min,3,0,285,0.93231201171875
ggsf,2-3,large,all_out,max,3,0,285,0.9944329857826233
ggsf,2-3,large,all_out,spatial_entropy,3,0,285,0.9999760372150907
ggsf,2-3,large,all_out,identity_l1,3,0,285,0.029771892353892326
ggsf,2-3,large,all_out,dynamic_range,3,0,285,0.06212097406387329
ggsf,2-3,large,all_out,mean,3,1,285,0.9668943881988525
ggsf,2-3,large,all_out,variance,3,1,285,0.0003607191611081362
ggsf,2-3,large,all_out,std,3,1,285,0.018992608413100243
ggsf,2-3,large,all_out,min,3,1,285,0.9318156838417053
ggsf,2-3,large,all_out,max,3,1,285,0.9939742684364319
ggsf,2-3,large,all_out,spatial_entropy,3,1,285,0.9999721368537322
ggsf,2-3,large,all_out,identity_l1,3,1,285,0.033105574548244476
ggsf,2-3,large,all_out,dynamic_range,3,1,285,0.06215858459472656
ggsf,2-3,large,all_out,mean,3,2,285,0.9686720371246338
ggsf,2-3,large,all_out,variance,3,2,285,0.0001916275650728494
ggsf,2-3,large,all_out,std,3,2,285,0.013842960819602013
ggsf,2-3,large,all_out,min,3,2,285,0.9442803263664246
ggsf,2-3,large,all_out,max,3,2,285,0.9930048584938049
ggsf,2-3,large,all_out,spatial_entropy,3,2,285,0.9999852757216587
ggsf,2-3,large,all_out,identity_l1,3,2,285,0.03132794797420502
ggsf,2-3,large,all_out,dynamic_range,3,2,285,0.04872453212738037
ggsf,2-3,large,all_out,inter_person_l1,3,all,285,0.005877444054931402
sasa,2-3,large,all_out,entropy,3,0,285,0.59724944039701
sasa,2-3,large,all_out,max_weight,3,0,285,0.687796413898468
sasa,2-3,large,all_out,uniform_l1,3,0,285,0.21889820659998804
sasa,2-3,large,all_out,weight_layer_0,3,0,285,0.005238750483840704
sasa,2-3,large,all_out,weight_layer_1,3,0,285,0.08436956256628036
sasa,2-3,large,all_out,weight_layer_2,3,0,285,0.22259527444839478
sasa,2-3,large,all_out,weight_layer_3,3,0,285,0.687796413898468
sasa,2-3,large,all_out,entropy,3,1,285,0.5988380877082503
sasa,2-3,large,all_out,max_weight,3,1,285,0.6866200566291809
sasa,2-3,large,all_out,uniform_l1,3,1,285,0.21831002202816308
sasa,2-3,large,all_out,weight_layer_0,3,1,285,0.005336250178515911
sasa,2-3,large,all_out,weight_layer_1,3,1,285,0.08489929139614105
sasa,2-3,large,all_out,weight_layer_2,3,1,285,0.22314442694187164
sasa,2-3,large,all_out,weight_layer_3,3,1,285,0.6866200566291809
sasa,2-3,large,all_out,entropy,3,2,285,0.5977033448672481
sasa,2-3,large,all_out,max_weight,3,2,285,0.6873334646224976
sasa,2-3,large,all_out,uniform_l1,3,2,285,0.21866673463955522
sasa,2-3,large,all_out,weight_layer_0,3,2,285,0.005216507241129875
sasa,2-3,large,all_out,weight_layer_1,3,2,285,0.08456643670797348
