component,crowd_bin,mean,metric,n,std,variance_across_observations
sasa,2-3,0.010848568984650715,weight_layer_0,1584,0.007675996145725386,5.892091682919098e-05
sasa,4+,0.015148796972460887,weight_layer_0,518,0.01115889955666392,0.00012452103931571423
sasa,overall,0.01176252290067688,weight_layer_0,2314,0.008709479925121418,7.585504056609299e-05
sasa,1,0.0803159899869055,weight_layer_1,212,0.01376877525359077,0.0001895791719838936
sasa,2-3,0.08607835099665505,weight_layer_1,1584,0.011505896912814544,0.00013238566376831527
sasa,4+,0.09096642728880566,weight_layer_1,518,0.012803562759162477,0.00016393121932781226
sasa,overall,0.08664464442157602,weight_layer_1,2314,0.012353669592487512,0.00015261315240035057
sasa,1,0.2210800311756584,weight_layer_2,212,0.030190600111513397,0.0009114723350933128
sasa,2-3,0.217895179460145,weight_layer_2,1584,0.02033177083156116,0.00041338090514712113
sasa,4+,0.2017100311269171,weight_layer_2,518,0.01787531234652726,0.00031952679148590984
sasa,overall,0.21456384053494051,weight_layer_2,2314,0.02204486625690356,0.0004859761282847652
sasa,1,0.6882866770029068,weight_layer_3,212,0.038139559323518674,0.0014546259853922003
sasa,2-3,0.6851779018538167,weight_layer_3,1584,0.02731912668920473,0.0007463346830608182
sasa,4+,0.6921747463780481,weight_layer_3,518,0.03469481856920146,0.0012037304355498062
sasa,overall,0.6870289933815431,weight_layer_3,2314,0.030347330048574296,0.0009209604410771004
