sample_id,dataset,split,image_path,person_index,localization_l2,failure,final_entropy,final_negative_peak,final_negative_margin,final_spread,pairwise_peak_distance_mean,pairwise_peak_distance_max,pairwise_js_mean,pairwise_js_max,geometry_semantics_conflict,semantic_peak_outside_geometry_support,probe_l2_2,probe_l2_5,probe_l2_8,probe_l2_11,domain,risk_final_confidence,risk_final_plus_disagreement
gazefollow:d9d8610f383925d24f66,gazefollow,risk_train,train/00000073/00073830.jpg,0,0.31871079084336007,1,0.8040895462257579,-0.009355681386593095,-0.00013543548783646886,0.25780989023062545,0.16542225415598177,0.23809523809523814,0.07727389528645716,0.10260082517551794,0.06274360436842022,0,0.40081987001644515,0.4240011306883509,0.22866153907030365,0.4341242147415875,id,0.74806619304418,0.7451669972163524
gazefollow:b3689e867d1dccfb2192,gazefollow,risk_train,train/00000074/00074093.jpg,0,0.04471785158077252,0,0.6900032351876167,-0.011779687671873165,-9.19471068148818e-06,0.13310887534224536,0.29205008192494186,0.579310717171259,0.11397439780732592,0.24207378524850542,0.005611958580845634,0,0.5954981491365023,0.0666415223415552,0.06818574356124596,0.0666415223415552,id,0.22580557708435933,0.23042439935774958
gazefollow:44f3bbcc43fb8a0aeb2e,gazefollow,risk_train,train/00000000/00000925.jpg,0,0.013683239747954429,0,0.7444746115958463,-0.006204108298932205,-0.00015962642011100453,0.13298587412290713,0.02460466423213167,0.03549314249999666,0.0925882693348048,0.1373361997392515,0.01122391716169123,0,0.2639940454820903,0.2727710173845454,0.2695364303763036,0.2510004291330992,id,0.4787185059242842,0.47179898821026545
gazefollow:8330da2440b427bc24a3,gazefollow,risk_train,train/00000050/00050570.jpg,0,0.0673960344604933,0,0.6958369137609544,-0.0076893983777423765,-0.00021539929995402062,0.11001063036196598,0.32744855512076776,0.5111505456541149,0.11433014838292771,0.21440447729719955,0.17288111833961875,0,0.45416858154324147,0.5931234382158573,0.4735994884509484,0.7963347818825949,id,0.2833079565039979,0.28888919344240066
gazefollow:634c528a42bd89550be9,gazefollow,risk_train,train/00000022/00022420.jpg,0,0.22888756639450733,1,0.750092215248076,-0.008428611763939076,-0.0002561483695495345,0.1838569848580806,0.1111382925618498,0.19113642188559196,0.09749918936167028,0.13913693305769204,0.025097441747368086,0,0.4191957358144283,0.404053758706685,0.307237925800185,0.3294730441174209,id,0.510886384627781,0.49982954169948923
gazefollow:2f26af6d0f90ab1f31da,gazefollow,risk_train,train/00000036/00036113.jpg,0,0.36290938882867163,1,0.7198090494130326,-0.007998491955813616,-0.00031030577552683576,0.12573621834719734,0.06939773829036193,0.12797234521108808,0.05821757212609541,0.090553811239593,0.01122391716169123,0,0.268037175826414,0.157755317263793,0.14216442768850435,0.18895400266996193,id,0.37065721994865086,0.3575780202524155
gazefollow:e0ec66cc9a199bdb3256,gazefollow,risk_train,train/00000014/00014840.jpg,0,0.1890366436038262,1,0.7286864704291063,-0.007942700693352404,-0.0002217302444915319,0.12892284437378815,0.24662881432244907,0.3875097020867842,0.0884701187149332,0.1251819567223909,0.005611958580845615,0,0.038056407147811534,0.2806400488169855,0.2448485044369273,0.2410570980079201,id,0.4035902956290709,0.3924098796715528
gazefollow:dc8e328fd005608d1b62,gazefollow,risk_train,train/00000058/00058796.jpg,0,0.330614883701566,1,0.7216461305396958,-0.012222838560756625,-0.00043222995690979024,0.19817627477520605,0.27153715288160557,0.4175538551735208,0.08917803594537278,0.13402190446798043,0.012548720873684034,0,0.2820935096736541,0.3590551159989229,0.5048924991520473,0.504488631636036,id,0.4161949815032753,0.40585627016139436
gazefollow:db2bc4cfab225e2a0283,gazefollow,risk_train,train/00000103/00103322.jpg,0,0.04305714923215428,0,0.6476860465037987,-0.013364321155122656,-0.00024707943109124157,0.08278175706874065,0.0228843426980764,0.03549314249999663,0.06448431898168848,0.11985094525331623,0.005611958580845595,0,0.06404475466421904,0.05228464138731378,0.04305714923215428,0.03020134475482843,id,0.1254762850818519,0.12138752334722482
gazefollow:5af2d1ce6d5db35f5bcc,gazefollow,risk_train,train/00000079/00079340.jpg,0,0.015831624205999883,0,0.6716981094419723,-0.010962666766599117,-0.0004192682455092557,0.09232062603461103,0.1870762049617304,0.3268454013011746,0.07548168948344874,0.11289308260593856,0.02244783432338246,0,0.05853163952086083,0.3237620890793115,0.018235002741979502,0.06509620054196716,id,0.19333533845326617,0.19748124292247116
gazefollow:cd360ec0586a9e26d02d,gazefollow,risk_train,train/00000022/00022219.jpg,0,0.006532918566766319,0,0.6118019497402984,-0.016036112688382308,-0.00016069555955589357,0.07258832615164887,0.014323316302574324,0.02244783432338246,0.1061684887164027,0.20099382543833327,0.0,0,0.006532918566766319,0.022134693356809808,0.017529643464714296,0.006532918566766319,id,0.06028860643509743,0.062327954839418775
gazefollow:fcdfaead74f5a49596c6,gazefollow,risk_train,train/00000113/00113406.jpg,0,0.3458399734703899,1,0.8885050270355694,-0.003436748791824386,-5.2789194258830944e-05,0.23873624176723354,0.051866537765777744,0.07936507936507936,0.04835083844202448,0.07305880813360371,0.028059792904228074,0,0.32979866926656937,0.28115535585330753,0.3027266295686588,0.357552845394915,id,0.9210686984767099,0.9190365822584647
gazefollow:00f95eb6582ae46b7859,gazefollow,risk_train,train/00000035/00035576.jpg,0,0.023670387618287946,0,0.6526710974206408,-0.013659846703186613,-6.447595700640775e-05,0.10101482917883862,0.015419119377635423,0.02244783432338246,0.07021048948064898,0.11709702121198434,0.007936507936507936,0,0.02494631235273061,0.010660517107532816,0.03269494035779848,0.010660517107532816,id,0.136543043293986,0.13856231778008657
gazefollow:0822a7e19315196c8a7b,gazefollow,risk_train,train/00000005/00005736.jpg,0,0.06401318633687902,0,0.6600858697011325,-0.013983922246798897,-0.0001497254459469216,0.10703303332703384,0.07053054085123615,0.12397221707788343,0.15756894864046583,0.3337789309782653,0.012548720873684034,0,0.17102594985849365,0.07961597609776566,0.06401318633687902,0.08412760337725064,id,0.1498583567991999,0.152481829298144
gazefollow:f064429b65c046075461,gazefollow,risk_train,train/00000068/00068765.jpg,0,0.014207058105040651,0,0.6306769675398309,-0.015636473111393857,-0.0004006946173331395,0.08106343317449152,0.025547233464265556,0.031746031746031744,0.08630426851647433,0.16705708243053807,0.005611958580845595,0,0.04182231611233413,0.047395080177166114,0.029770683986096166,0.019725773115394023,id,0.10140280408900967,0.10022415980589283
gazefollow:8b0e27ce3da6743d2920,gazefollow,risk_train,train/00000015/00015560.jpg,0,0.01979725486020727,0,0.6606017235147228,-0.01489878655954126,-0.0007998317466338008,0.12073409843103637,0.015419119377635423,0.02244783432338246,0.0947012248347213,0.18272829241156696,0.007936507936507936,0,0.01445283449708049,0.01445283449708049,0.013732149321937932,0.01979725486020727,id,0.16115118822967997,0.16330025144518334
gazefollow:4ff7787ab2297c4d735e,gazefollow,risk_train,train/00000015/00015560.jpg,1,0.0309025888883116,0,0.6920224564553934,-0.012005373703875642,-0.0007138198676569871,0.10903165770705785,0.015419119377635423,0.02244783432338246,0.09704288886813277,0.19633703558721016,0.007936507936507936,0,0.04229049095245879,0.04229049095245879,0.020835321571792444,0.0309025888883116,id,0.274479411552989,0.2882822232545123
gazefollow:4aab9c784ce0e77069f1,gazefollow,risk_train,train/00000093/00093546.jpg,0,0.09711996717977205,0,0.8695363282903023,-0.0026321813849260424,-7.866573715709091e-06,0.21831297616204667,0.053263426582987605,0.07936507936507936,0.03759649359963243,0.053713609546653725,0.012548720873684053,0,0.36739159612054273,0.36807377473816305,0.3138716505595878,0.3239726896668915,id,0.8887954558001069,0.8946257073760293
gazefollow:612a84e05e83d6389b40,gazefollow,risk_train,train/00000014/00014445.jpg,0,0.03575742335515804,0,0.7085608866442403,-0.0080306559228191,-7.36751036810885e-05,0.10787809653542538,0.3356541839739117,0.5044523359387525,0.10712946004935024,0.17259942111366047,0.1491134462544122,0,0.48251675768826924,0.45441325445567715,0.018099107712812864,0.0463065486729469,id,0.31813566130162074,0.3128017759955458
