bin,ci95_high,ci95_low,cluster_n,dimension,mean_improvement,metric,n,positive_means
medium,0.000954957288421256,-0.0015958009958709869,59,target_separation,-0.0003253236680068507,l2,6994,candidate_better
medium,,,0,target_separation,,avg_l2,0,candidate_better
medium,,,0,target_separation,,min_l2,0,candidate_better
medium,0.0044872395830538305,-0.0036104353058127978,59,target_separation,0.00042893909064912783,target_confusion,6994,candidate_better
medium,0.0012042060174244564,-0.00284268174859742,59,target_separation,-0.0006675397681240907,association_margin,6994,candidate_better
shared_only,0.0012083971236866594,1.7290923236476464e-05,107,target_separation,0.0006129729520093043,auc,5915,candidate_better
shared_only,0.0013243925979532062,-0.0010806693871386057,107,target_separation,0.00012394039685563463,l2,5915,candidate_better
shared_only,,,0,target_separation,,avg_l2,0,candidate_better
shared_only,,,0,target_separation,,min_l2,0,candidate_better
shared_only,,,0,target_separation,,target_confusion,0,candidate_better
shared_only,,,0,target_separation,,association_margin,0,candidate_better
undefined,,,0,target_separation,,auc,0,candidate_better
undefined,,,0,target_separation,,l2,0,candidate_better
undefined,,,0,target_separation,,avg_l2,0,candidate_better
undefined,,,0,target_separation,,min_l2,0,candidate_better
undefined,,,0,target_separation,,target_confusion,0,candidate_better
undefined,,,0,target_separation,,association_margin,0,candidate_better
